date,variable,strat,type,median,mean,sd,upper,lower,bottom,top
2020-05-17,infections,NA,Infections,11.811306192332609,52.192957775728416,93.09185835111205,13.857983023623628,1.3820057415656104,1.3820057415656104,211.6579444034137
2020-05-18,infections,NA,Infections,11.109722091337272,59.14362592318438,109.87064381436323,12.801091204503425,0.921363597624886,0.921363597624886,245.45851021031834
2020-05-19,infections,NA,Infections,10.452378275444314,67.2402073920938,129.21116163544488,11.825141660540572,0.6075957545913626,0.6075957545913626,283.97110307509524
2020-05-20,infections,NA,Infections,9.846318453853147,76.61335879558207,151.46784281463695,10.941597619496697,0.39856402199514696,0.39856402199514696,327.73150584618753
2020-05-21,infections,NA,Infections,9.296081430420232,87.41517829614108,177.04615095200666,10.15670291049415,0.2613175032392194,0.2613175032392194,377.3482165686791
2020-05-22,infections,NA,Infections,8.80436538194946,99.82524786733744,206.4164180466338,9.472781258352956,0.17190665421453066,0.17190665421453066,433.52507397698076
2020-05-23,infections,NA,Infections,8.37258278217388,114.05773039188807,240.13154030890678,8.889361128958015,0.11378194160696058,0.11378194160696058,497.0895508258308
2020-05-24,infections,NA,Infections,8.0013755705149,130.37010341447157,278.8489952653473,8.40424945399549,0.0758981112190691,0.0758981112190691,569.027508815318
2020-05-25,infections,NA,Infections,7.691138754534205,149.0737904595209,323.3575499998793,8.014542938816348,0.051051419914344545,0.051051419914344545,650.5241517369611
2020-05-26,infections,NA,Infections,7.442325687701899,170.5469157272704,374.60956181098356,7.717305112913129,0.03460920317115501,0.03460920317115501,743.0123011122364
2020-05-27,infections,NA,Infections,7.255784079552443,195.24955000422096,433.75954350108225,7.510156625228276,0.023613156964200882,0.023613156964200882,848.2283459942485
2020-05-28,infections,NA,Infections,7.133038155715003,223.74177934754607,502.21007053436875,7.391815251707813,0.016177236836659545,0.016177236836659545,968.2767167718353
2020-05-29,infections,NA,Infections,7.076520190136787,256.70500643136535,581.6663487384818,7.362448788436054,0.011095561215298049,0.011095561215298049,1105.7042922404448
2020-05-30,infections,NA,Infections,7.089812445680491,294.9672539181015,674.2011368907347,7.4239316504485435,0.0075921847062644585,0.0075921847062644585,1263.587007035323
2020-05-31,infections,NA,Infections,7.177877709177835,339.53286467517006,782.3315044566465,7.580129795994338,0.005162754984386648,0.005162754984386648,1445.6288372534802
2020-06-01,infections,NA,Infections,7.347352249855947,391.6177120922163,909.1101110637543,7.837140988496946,0.0034749881036478998,0.0034749881036478998,1656.277517594111
2020-06-02,infections,NA,Infections,7.60683939823989,452.6906178591051,1058.2330657342811,8.203465730418786,0.0023060951935312927,0.0023060951935312927,1900.85763388648
2020-06-03,infections,NA,Infections,7.967278368761015,524.5222176624919,1234.167545533235,8.690258212485936,0.0015035045538457934,0.0015035045538457934,2185.7251233405505
2020-06-04,infections,NA,Infections,8.454263941778452,609.2420791814487,1442.3019272864801,9.311306421117312,9.602613122180277e-4,9.602613122180277e-4,2518.444178987271
2020-06-05,infections,NA,Infections,9.0855975653608,709.4057097331994,1689.1223686324995,10.083100789323819,5.997666135451102e-4,5.997666135451102e-4,2907.991052454411
2020-06-06,infections,NA,Infections,9.872118006688805,828.0727312858006,1982.4198033115053,11.024741085323363,3.6635815796340896e-4,3.6635815796340896e-4,3364.9873363948514
2020-06-07,infections,NA,Infections,10.839898210813008,968.8980043705674,2331.5322848933984,12.157697973211713,2.1946412481132067e-4,2.1946412481132067e-4,3901.9668754270174
2020-06-08,infections,NA,Infections,12.019968357898502,1136.237844053131,2747.628682957998,13.505406915557453,1.2982603217079027e-4,1.2982603217079027e-4,4533.68141765303
2020-06-09,infections,NA,Infections,13.448949294496025,1335.274061606156,3244.041326287419,15.092695315016675,7.683898330159626e-5,7.683898330159626e-5,5277.451854844998
2020-06-10,infections,NA,Infections,15.169708421139077,1572.1594035601058,3836.6574314522577,16.945080172315897,4.6477886659603136e-5,4.6477886659603136e-5,6153.574428986029
2020-06-11,infections,NA,Infections,17.232001738467194,1854.189103578308,4544.382222483221,19.088020194455154,2.957702979010821e-5,2.957702979010821e-5,7185.794743480318
2020-06-12,infections,NA,Infections,19.693024144830574,2190.0047572387584,5389.690684844449,21.546255203085835,2.040274457696222e-5,2.040274457696222e-5,8401.866869649364
2020-06-13,infections,NA,Infections,22.617720887833784,2589.8385965181387,6399.289996678719,24.343404316555347,1.552146489325983e-5,1.552146489325983e-5,9834.220226382962
2020-06-14,infections,NA,Infections,26.078616570681234,3065.808467347507,7604.9208471766815,27.502008462161392,1.295970378424218e-5,1.295970378424218e-5,10270
2020-06-15,infections,NA,Infections,30.154810214276278,3632.2763483378744,9044.332975901905,31.04418126281755,1.1623870099907057e-5,1.1623870099907057e-5,10270
2020-06-16,infections,NA,Infections,34.92970490631754,4306.285998115978,10762.478104081802,34.99297266717694,1.0926257880112884e-5,1.0926257880112884e-5,10270
2020-06-17,infections,NA,Infections,39.883435738483,5108.09814595275,12812.971591366315,40.39241059953902,1.0558475797558968e-5,1.0558475797558968e-5,10270
2020-06-18,infections,NA,Infections,44.78591097004971,6061.844359439215,15259.882099547456,45.35133246830362,1.0361353504447582e-5,1.0361353504447582e-5,10270
2020-06-19,infections,NA,Infections,50.94953574836988,7196.323080116902,18179.9155672425,51.075517733353585,1.0253479316910828e-5,1.0253479316910828e-5,10270
2020-06-20,infections,NA,Infections,57.556962277757805,8545.962956275762,21665.0649664603,57.937213560051596,1.0193290379152375e-5,1.0193290379152375e-5,10270
2020-06-21,infections,NA,Infections,66.40610495884128,10151.979010525982,25825.799382150268,68.88472936579566,1.0159471946633185e-5,1.0159471946633185e-5,10270
2020-06-22,infections,NA,Infections,76.20574634383419,12063.745637770435,30794.86323722215,80.99197078288348,1.0140992679979734e-5,1.0140992679979734e-5,10270
